3	   -0.756545      0.528464   -0.00057935       0.27867     0.0776575  300
4	   -0.541523      0.582011  -0.000736894      0.248097     0.0615529  400
5	   -0.523552       0.63471  -0.000104002      0.216901     0.0470462  500
6	   -0.602906      0.629206  -0.000184999      0.204624     0.0418709  600
7	   -0.601182      0.565233  -2.06509e-05      0.190178     0.0361678  700
8	   -0.574109      0.550776  -0.000127002      0.183055     0.0335092  800
9	   -0.568379       0.53819   -0.00024933      0.169921     0.0288733  900
10	   -0.506426      0.575337  -0.000170146      0.166621     0.0277627  1000
11	   -0.544154      0.476194  -7.99024e-05      0.162947     0.0265516  1100
12	   -0.502649      0.509911  -0.000138611      0.160108     0.0256348  1200
13	   -0.514987      0.493427  -0.000176679      0.157583     0.0248325  1300
14	   -0.526602      0.513427  -0.000179742      0.156426     0.0244691  1400
15	   -0.487643      0.539255  -0.000164145        0.1542     0.0237777  1500
16	   -0.443702      0.480941   4.37829e-06      0.152731     0.0233269  1600
17	   -0.480092      0.475884  -7.58808e-05      0.151146     0.0228451  1700
18	   -0.499954       0.47826  -5.35853e-05      0.150339     0.0226017  1800
19	   -0.466023      0.538722   2.44215e-06      0.148479     0.0220459  1900
20	   -0.510724      0.528435  -3.34002e-06      0.148042     0.0219164  2000
21	   -0.479961      0.517937  -7.37495e-05      0.147602     0.0217864  2100
22	   -0.484001      0.471951   1.63001e-05      0.147032     0.0216184  2200
23	   -0.508478      0.477756     4.144e-05      0.145961     0.0213046  2300
24	   -0.478861      0.515474   8.23338e-06      0.145098     0.0210535  2400
25	   -0.504493      0.507438  -5.16882e-05      0.145071     0.0210457  2500
26	   -0.443052      0.455687  -1.74081e-05      0.143594     0.0206192  2600
27	   -0.477145       0.44808  -4.89101e-05      0.143484     0.0205875  2700
28	   -0.471838      0.511779  -3.74786e-05      0.144035     0.0207461  2800
29	   -0.486159      0.603379  -3.89031e-05      0.142941     0.0204323  2900
30	   -0.437791      0.592841   5.04456e-05      0.143103     0.0204785  3000
