3	   -0.669474      0.548842   0.000223349      0.284165     0.0807498  300
4	   -0.524859      0.573767    0.00209626      0.238955     0.0571037  400
5	    -0.45302      0.443007    0.00221815      0.200153     0.0400663  500
6	    -0.52375      0.549963    0.00145229       0.18516     0.0342862  600
7	   -0.512429      0.556468     0.0016744      0.168296     0.0283264  700
8	   -0.471677      0.521236    0.00201282      0.157412     0.0247826  800
9	   -0.435076       0.50957    0.00279105      0.148015     0.0219163  900
10	    -0.46134      0.436923     0.0023166      0.146551     0.0214826  1000
11	   -0.432103      0.454162    0.00183484       0.14057     0.0197632  1100
12	   -0.409812      0.445462    0.00162559      0.139479      0.019457  1200
13	   -0.403051         0.436     0.0018264      0.135308     0.0183116  1300
14	   -0.409071      0.372781     0.0020561      0.133606     0.0178549  1400
15	   -0.390822       0.37943    0.00209031      0.131148     0.0172041  1500
16	   -0.407063      0.419034    0.00218343      0.128444     0.0165025  1600
17	     -0.3992      0.377583    0.00233079      0.128178     0.0164351  1700
18	   -0.421839      0.367644    0.00197983      0.126096      0.015904  1800
19	   -0.387987      0.409859    0.00203505      0.125744     0.0158156  1900
20	   -0.433122      0.404012    0.00174013      0.125424     0.0157343  2000
21	   -0.442011      0.407476    0.00157394      0.124346     0.0154644  2100
22	   -0.417823      0.404365    0.00161691       0.12438     0.0154729  2200
23	   -0.384751      0.393301    0.00175785      0.123349      0.015218  2300
24	   -0.363247      0.415101    0.00194087      0.121998     0.0148873  2400
25	   -0.367975      0.365877    0.00186851      0.121539     0.0147753  2500
26	   -0.427271      0.482509    0.00162103      0.121055     0.0146569  2600
27	   -0.339661      0.438499    0.00244863      0.121534     0.0147765  2700
28	   -0.359144      0.434983    0.00223496      0.121441     0.0147529  2800
29	   -0.379421       0.48899    0.00223028      0.120741     0.0145835  2900
30	   -0.411726      0.498335    0.00204083      0.120339     0.0144857  3000
