3	    -9.08106       4.97423    -0.0144954       6.04268       36.5142  300
4	     -5.4116       5.65816    -0.0125506       4.98298       24.8302  400
5	    -6.18988        5.1667     -0.009487       4.16158       17.3188  500
6	    -4.76021       4.97734   -0.00718139       3.56115       12.6818  600
7	    -4.68168       4.46804   -0.00554794        3.1003       9.61187  700
8	    -3.93648       4.16814   -0.00472803       2.73767       7.49486  800
9	    -3.99088       3.70815   -0.00367581       2.45123       6.00855  900
10	    -3.34738       3.39447   -0.00310979        2.2136       4.90005  1000
11	    -3.38525       3.15482   -0.00259893       2.02385       4.09596  1100
12	    -2.83217       2.95967   -0.00207046       1.86053       3.46157  1200
13	    -2.67045       2.65182   -0.00180416       1.72045       2.95995  1300
14	    -2.57915       2.64906   -0.00157639       1.60145       2.56465  1400
15	    -2.40358       2.46038   -0.00148079       1.49966       2.24897  1500
16	    -2.27125       2.28426   -0.00112767       1.40672       1.97888  1600
17	    -2.21442       2.25068    -0.0011786       1.32644       1.75944  1700
18	    -2.07735       2.08532  -0.000962347       1.25476       1.57442  1800
19	    -2.07699       2.09262  -0.000849827       1.19108       1.41867  1900
20	     -2.0148       1.96234  -0.000815705       1.13253       1.28262  2000
21	    -1.87917       1.91602  -0.000667044       1.07967       1.16569  2100
22	    -1.81211       1.90737  -0.000605659       1.03214       1.06531  2200
23	    -1.73135       1.83658  -0.000644019      0.987102      0.974371  2300
24	    -1.83255       1.66126  -0.000623916      0.947748      0.898226  2400
25	    -1.65492       1.57351  -0.000524001      0.910041      0.828174  2500
26	    -1.55374       1.54196  -0.000423648      0.876855      0.768874  2600
27	    -1.56845       1.51752   -0.00048447      0.845261      0.714467  2700
28	    -1.44552       1.51414  -0.000433924      0.815188      0.664531  2800
29	    -1.45413       1.55336   -0.00044175      0.788007      0.620956  2900
30	    -1.41539       1.49178  -0.000425357      0.762366      0.581203  3000
