3	    -10.2915       8.61849    -0.0173809       6.46893       41.8474  300
4	    -6.89915         6.188    -0.0105016       4.60325         21.19  400
5	    -5.53058       5.39036   -0.00744694       3.72591       13.8825  500
6	    -4.63674       4.61319   -0.00508568       3.11028       9.67387  600
7	    -4.05955       4.15173   -0.00383938       2.63903       6.96447  700
8	    -3.54598       3.52753   -0.00239357       2.26687       5.13872  800
9	    -3.18934       3.26549   -0.00180062       1.97107       3.88513  900
10	    -2.92971        2.9235   -0.00142163        1.7359       3.01334  1000
11	     -2.5168       2.56164   -0.00100766       1.54443       2.38527  1100
12	    -2.39312       2.44512  -0.000752865       1.39111        1.9352  1200
13	    -2.16988       2.25133  -0.000680875        1.2632       1.59568  1300
14	    -2.03539       2.04283  -0.000437118       1.15753       1.33987  1400
15	    -1.96795       1.97263  -0.000444874         1.067       1.13849  1500
16	    -1.82277       1.80276  -0.000418775      0.989665      0.979436  1600
17	    -1.92085       1.78658  -0.000284339      0.924858      0.855362  1700
18	    -1.63667       1.59944  -0.000171593      0.868516      0.754321  1800
19	    -1.61848       1.65666  -0.000178505      0.817112      0.667672  1900
20	     -1.5358       1.47438  -0.000237505       0.77338      0.598116  2000
21	    -1.48728       1.53544  -0.000207526      0.733728      0.538356  2100
22	    -1.55466       1.42824  -7.27634e-05      0.698825      0.488357  2200
23	    -1.53617       1.33654  -0.000133574      0.667825      0.445991  2300
24	    -1.51322       1.34735  -0.000190143      0.639636      0.409134  2400
25	      -1.292       1.26254  -0.000114031      0.614892      0.378092  2500
26	     -1.4135       1.25116  -9.99641e-05       0.59061      0.348821  2600
27	    -1.31768       1.19848  -5.43175e-05      0.568706      0.323427  2700
28	    -1.22963       1.26239  -0.000131154      0.548677      0.301047  2800
29	    -1.22914       1.21232   -0.00011271       0.53067       0.28161  2900
30	     -1.2679       1.11487  -2.72266e-05      0.514643      0.264857  3000
