3	    -2.17943       1.95542   -0.00327309       1.31862       1.73877  300
4	    -1.62004       1.53205   -0.00231934      0.941522      0.886468  400
5	    -1.52569       1.30452   -0.00182303       0.76305      0.582249  500
6	    -1.29513       1.26534   -0.00112036      0.642504      0.412813  600
7	    -1.20319       1.18354  -0.000348945      0.558985      0.312464  700
8	    -1.12857       1.01841  -0.000657311      0.485868      0.236068  800
9	    -1.04401       1.02914  -0.000193026      0.432889      0.187393  900
10	   -0.900738       1.09314  -0.000216222      0.390181      0.152241  1000
11	   -0.908169      0.820293  -0.000367296      0.356919      0.127391  1100
12	    -0.93525      0.954595   -0.00027834      0.329032      0.108262  1200
13	    -0.81591      0.880301  -7.67877e-05      0.308482     0.0951612  1300
14	   -0.839901      0.765418  -3.06902e-05      0.290582      0.084438  1400
15	   -0.798056      0.726243  -0.000142226      0.275108     0.0756845  1500
16	   -0.801267      0.713611   -7.0796e-05       0.26426     0.0698334  1600
17	   -0.793042      0.731368  -9.89174e-05      0.254107     0.0645705  1700
18	   -0.722311      0.714849   -0.00011091      0.245386     0.0602141  1800
19	   -0.824853      0.705533  -8.96673e-05      0.238886     0.0570664  1900
20	   -0.803376       0.81764  -9.38122e-05       0.23254     0.0540746  2000
21	   -0.684147      0.800011   5.13723e-06      0.227752     0.0518709  2100
22	   -0.718154      0.654878  -4.80723e-05      0.226176     0.0511556  2200
23	    -0.69705      0.735716   3.46506e-05      0.224139     0.0502382  2300
24	   -0.744191      0.710591   8.95838e-06      0.220847     0.0487734  2400
25	   -0.719825      0.597347  -3.00947e-05      0.217694     0.0473908  2500
26	   -0.664572      0.639085  -1.28227e-05      0.214658     0.0460782  2600
27	   -0.626735      0.687237  -2.76977e-05      0.212244     0.0450474  2700
28	   -0.736634       0.64259  -9.10222e-06      0.209495     0.0438882  2800
29	    -0.63431      0.671715  -7.23385e-05       0.20882     0.0436057  2900
30	   -0.669309      0.676036  -2.97789e-05      0.206622     0.0426924  3000
