3	    -2.12047       1.22819   -0.00265411       1.22727        1.5062  300
4	    -1.43341       1.32148   -0.00263283       1.01275       1.02567  400
5	    -1.59336        1.2693   -0.00217877      0.844779      0.713656  500
6	    -1.20068       1.17911   -0.00155748      0.720867      0.519651  600
7	    -1.21591       1.16967  -0.000914636      0.636748      0.405449  700
8	    -1.05626       1.12309   -0.00100427      0.563308      0.317317  800
9	    -1.10675      0.986419   -0.00066117       0.50857      0.258644  900
10	   -0.959346      0.961557  -0.000549112      0.463799       0.21511  1000
11	     -0.9609      0.932917  -0.000624699      0.427365      0.182641  1100
12	   -0.983965      0.930756  -0.000523912      0.396125      0.156915  1200
13	   -0.895082      0.876104  -0.000278201      0.371356      0.137905  1300
14	   -0.790154      0.767562   -0.00014378      0.347688      0.120887  1400
15	    -0.83664      0.803027   -0.00028038       0.32762      0.107335  1500
16	   -0.798694      0.792486  -0.000193875      0.312974     0.0979528  1600
17	   -0.847342      0.741104  -0.000184944      0.297642      0.088591  1700
18	   -0.686221      0.704053  -0.000272974      0.285308     0.0814005  1800
19	   -0.738644      0.692565  -0.000178988      0.273348      0.074719  1900
20	   -0.709537       0.68291  -0.000165779       0.26284     0.0690847  2000
21	    -0.72869      0.698584  -0.000122297      0.253879     0.0644544  2100
22	   -0.695967      0.643162  -0.000160827      0.246426     0.0607257  2200
23	   -0.653963      0.658702  -6.96713e-05      0.240362     0.0577738  2300
24	   -0.628303      0.633402  -9.67727e-05      0.233119     0.0543445  2400
25	   -0.616668       0.63623  -0.000104022      0.227646     0.0518227  2500
26	   -0.603586      0.572903  -0.000118354      0.222115     0.0493349  2600
27	   -0.565865      0.618278  -0.000153751      0.216466     0.0468577  2700
28	   -0.639123      0.595939  -8.34621e-05       0.21215     0.0450075  2800
29	   -0.575983      0.624366  -8.49732e-05      0.208348     0.0434091  2900
30	   -0.614979      0.663312  -9.84947e-05      0.204024     0.0416256  3000
