-4.5	-2	0
-3.6	-2	0
-2.7	-2	0
-1.8	-2	1
-0.9	-2	2
0	-2	8
0.9	-2	6
1.8	-2	8
2.7	-2	2
3.6	-2	1

-4.5	-1.55	0
-3.6	-1.55	0
-2.7	-1.55	1
-1.8	-1.55	4
-0.9	-1.55	4
0	-1.55	9
0.9	-1.55	10
1.8	-1.55	5
2.7	-1.55	1
3.6	-1.55	1

-4.5	-1.1	0
-3.6	-1.1	2
-2.7	-1.1	4
-1.8	-1.1	10
-0.9	-1.1	15
0	-1.1	27
0.9	-1.1	21
1.8	-1.1	12
2.7	-1.1	8
3.6	-1.1	3

-4.5	-0.65	1
-3.6	-0.65	5
-2.7	-0.65	10
-1.8	-0.65	24
-0.9	-0.65	48
0	-0.65	41
0.9	-0.65	27
1.8	-0.65	9
2.7	-0.65	7
3.6	-0.65	0

-4.5	-0.2	2
-3.6	-0.2	5
-2.7	-0.2	17
-1.8	-0.2	35
-0.9	-0.2	38
0	-0.2	35
0.9	-0.2	40
1.8	-0.2	9
2.7	-0.2	7
3.6	-0.2	1

-4.5	0.25	1
-3.6	0.25	6
-2.7	0.25	23
-1.8	0.25	34
-0.9	0.25	43
0	0.25	42
0.9	0.25	27
1.8	0.25	7
2.7	0.25	1
3.6	0.25	0

-4.5	0.7	1
-3.6	0.7	7
-2.7	0.7	8
-1.8	0.7	25
-0.9	0.7	17
0	0.7	12
0.9	0.7	12
1.8	0.7	2
2.7	0.7	0
3.6	0.7	0

-4.5	1.15	0
-3.6	1.15	8
-2.7	1.15	6
-1.8	1.15	9
-0.9	1.15	7
0	1.15	4
0.9	1.15	2
1.8	1.15	0
2.7	1.15	0
3.6	1.15	0

-4.5	1.6	0
-3.6	1.6	2
-2.7	1.6	3
-1.8	1.6	3
-0.9	1.6	3
0	1.6	1
0.9	1.6	2
1.8	1.6	1
2.7	1.6	0
3.6	1.6	0

-4.5	2.05	0
-3.6	2.05	1
-2.7	2.05	1
-1.8	2.05	1
-0.9	2.05	1
0	2.05	0
0.9	2.05	0
1.8	2.05	0
2.7	2.05	0
3.6	2.05	0

