4 2.43926 1.99542 1.42933 0.980407
6 2.12689 1.43013 1.22411 0.696346
8 1.82332 1.10083 1.17622 0.54831
10 1.55268 0.894088 0.96512 0.461195
11 1.45619 0.819511 0.958277 0.430616
12 1.40503 0.754614 0.854989 0.402275
13 1.27851 0.699999 0.846028 0.378972
14 1.23354 0.649496 0.803631 0.358918
15 1.15822 0.611587 0.781342 0.341269
16 1.13518 0.575704 0.75415 0.325817
17 1.1005 0.545306 0.745342 0.314669
18 1.02336 0.51714 0.7342 0.301397
19 1.00903 0.491111 0.689985 0.292272
20 1.03187 0.469597 0.701916 0.282935
25 0.878721 0.384977 0.641299 0.251529
30 0.758115 0.330061 0.599267 0.234779
35 0.711854 0.291888 0.606316 0.220716
50 0.610701 0.225553 0.576875 0.200526
60 0.598794 0.203035 0.517602 0.194296
70 0.559133 0.187792 0.524621 0.19348
80 0.507766 0.176868 0.548277 0.191178
90 0.467408 0.169415 0.55498 0.187606
100 0.476968 0.16365 0.588712 0.188209
