3	    -3.64846       2.04936   -0.00522564       2.30345       5.30591  300
4	    -2.42537        2.4229   -0.00510433       1.92044       3.68811  400
5	    -2.71355       2.48034     -0.003943       1.68027       2.82332  500
6	    -2.17854       2.27848   -0.00315263       1.48335       2.20035  600
7	    -2.15029       2.05832   -0.00259308       1.32311       1.75062  700
8	    -1.91673       2.01095   -0.00200747       1.19274       1.42263  800
9	     -1.8932       1.79925   -0.00145192       1.06729       1.13911  900
10	    -1.71202       1.73254   -0.00137364      0.963932      0.929167  1000
11	    -1.55443       1.51587   -0.00112927      0.881393      0.776855  1100
12	    -1.42994       1.45659  -0.000852281      0.806957       0.65118  1200
13	    -1.39318       1.38134  -0.000801066      0.744435      0.554184  1300
14	     -1.2492       1.37082  -0.000525802       0.69009      0.476225  1400
15	    -1.24731       1.19436   -0.00056536      0.644674      0.415605  1500
16	    -1.17715       1.24748   -0.00041483      0.604557       0.36549  1600
17	    -1.15255       1.09486  -0.000338219       0.56626       0.32065  1700
18	    -1.06439       1.09146  -0.000355495      0.535348      0.286598  1800
19	     -1.0852       1.04858  -0.000371209      0.506514      0.256556  1900
20	    -1.12103         1.081  -0.000347488      0.482198      0.232515  2000
21	    -1.01437       1.05077  -0.000263343      0.459831      0.211444  2100
22	   -0.915453      0.953339  -0.000223979      0.439199      0.192896  2200
23	   -0.922075      0.987231  -0.000207673       0.42213      0.178194  2300
24	   -0.853593        1.0949  -0.000175991        0.4059      0.164755  2400
25	   -0.855088       1.04994  -0.000158293      0.390162      0.152226  2500
26	    -0.85121      0.904602   -0.00015827      0.377246      0.142315  2600
27	   -0.937087      0.844177  -0.000102483      0.364181      0.132628  2700
28	   -0.854177      0.838409  -0.000115485       0.35319      0.124743  2800
29	   -0.879854      0.788435  -9.75015e-05      0.342398      0.117236  2900
30	   -0.826465      0.758543  -9.38706e-05      0.332631      0.110643  3000
