3	    -4.49239       3.48309   -0.00634891       2.60642       6.79347  300
4	    -3.13547       2.71401   -0.00444207       1.83982       3.38496  400
5	    -2.54555       2.32269   -0.00305498       1.49456       2.23372  500
6	    -1.98823       2.05636   -0.00233465       1.25449       1.57375  600
7	    -1.85041       1.99993   -0.00129703       1.06311        1.1302  700
8	    -1.66355       1.68672   -0.00128928      0.921488      0.849141  800
9	    -1.52589       1.49686  -0.000915603      0.801494      0.642393  900
10	     -1.4604       1.38685  -0.000610963      0.708877      0.502507  1000
11	    -1.42368       1.29256  -0.000323737      0.636141      0.404675  1100
12	    -1.20518       1.21128   -0.00039684      0.576604      0.332472  1200
13	    -1.23503       1.24001  -0.000189919      0.536257      0.287572  1300
14	    -1.06206        1.1979    -0.0001788      0.495551      0.245571  1400
15	    -1.09961       1.05045  -0.000197301      0.460793       0.21233  1500
16	    -1.05208       1.05243  -0.000197519      0.434308      0.188624  1600
17	    -1.06373      0.932668  -0.000126485      0.410088      0.168172  1700
18	   -0.980981       1.00932    2.5968e-05      0.389119      0.151414  1800
19	    -1.15676      0.964499   -9.4619e-05      0.370997      0.137639  1900
20	   -0.962286      0.949793  -0.000148821      0.355334      0.126263  2000
21	   -0.921558      0.864706  -0.000113348      0.343368      0.117901  2100
22	   -0.926305      0.878745   4.94824e-07      0.331638      0.109984  2200
23	    -1.04881      0.914791  -9.40174e-05      0.320638      0.102809  2300
24	     -1.0478      0.864826  -5.91656e-05      0.311282     0.0968967  2400
25	   -0.866886      0.829105  -9.99867e-06      0.301992     0.0911989  2500
26	    -0.74886      0.920137  -7.93674e-05       0.29386     0.0863538  2600
27	   -0.825572      0.851108  -4.93488e-05      0.286216     0.0819194  2700
28	   -0.830227      0.743875  -9.08448e-05      0.279433      0.078083  2800
29	   -0.857443      0.822661  -2.91366e-05      0.273681     0.0749012  2900
30	   -0.823208      0.740675  -5.42748e-05      0.268387     0.0720314  3000
