3	     -1.2062      0.732748   -0.00187411      0.596938      0.356338  300
4	   -0.907296      0.785157   -0.00149081      0.498555      0.248559  400
5	    -0.98515       0.80492   -0.00103365      0.438084      0.191919  500
6	   -0.916817      0.842693  -0.000966467      0.395901      0.156739  600
7	   -0.837282      0.835551  -0.000715105      0.353976        0.1253  700
8	   -0.789439      0.805527  -0.000728582      0.328127      0.107668  800
9	   -0.765069      0.768452  -0.000460688      0.298934     0.0893615  900
10	   -0.764483      0.822255  -0.000385665      0.277185     0.0768316  1000
11	   -0.667095      0.707646  -0.000283527      0.260824     0.0680294  1100
12	   -0.660092      0.774139  -0.000183963      0.243856     0.0594658  1200
13	   -0.712853      0.753945  -0.000255822      0.232266     0.0539475  1300
14	   -0.637692      0.566379  -8.58177e-05      0.219695     0.0482658  1400
15	   -0.613594      0.720341  -6.89674e-05      0.211156      0.044587  1500
16	   -0.645694      0.595642   -0.00026255      0.203252     0.0413115  1600
17	   -0.602142       0.62396  -6.42502e-05      0.194992     0.0380217  1700
18	   -0.635399      0.602956  -2.86556e-05      0.191239     0.0365724  1800
19	   -0.573418      0.671025  -0.000112291      0.185136     0.0342752  1900
20	   -0.614747      0.664135  -9.42014e-05      0.182176     0.0331882  2000
21	   -0.591057      0.611677  -5.10146e-05      0.178028     0.0316939  2100
22	    -0.60125      0.586948  -3.70974e-05      0.173194     0.0299963  2200
23	   -0.542746      0.614351  -2.14405e-05      0.170592     0.0291018  2300
24	   -0.578303      0.561072  -5.06033e-05      0.168087     0.0282533  2400
25	    -0.57067      0.559838  -6.67241e-05      0.166481     0.0277158  2500
26	    -0.56439      0.487268  -7.50778e-05      0.163836     0.0268422  2600
27	    -0.55035      0.508474  -5.81615e-05      0.162778     0.0264968  2700
28	   -0.533436      0.523035  -2.02917e-05      0.160414     0.0257325  2800
29	   -0.528702      0.502059  -2.05834e-05       0.15912     0.0253192  2900
30	   -0.570714      0.497735  -1.43499e-06      0.157291     0.0247406  3000
