3	   -0.234413        1.4252      0.582076      0.437367      0.530102  300
4	  -0.0949666       1.50714      0.694908      0.405011      0.646931  400
5	   -0.133145       1.50775      0.670798      0.413795      0.621196  500
6	  -0.0949666       1.58195      0.708784      0.405423      0.666742  600
7	  -0.0949666       1.58627       0.73188      0.397749      0.693853  700
8	  -0.0949666       1.65228      0.745421      0.393027      0.710122  800
9	  -0.0949666       1.63845      0.768152      0.370975       0.72768  900
10	  -0.0949666       1.48025      0.771157      0.363212      0.726606  1000
11	   -0.113679       1.56197      0.780135      0.352371      0.732775  1100
12	  -0.0949666       1.59585      0.794236       0.33288       0.74162  1200
13	  -0.0949666       1.54715      0.796946       0.32323        0.7396  1300
14	  -0.0949666       1.48042      0.804925      0.299421      0.737557  1400
15	  -0.0949666       1.45559       0.81732      0.287369      0.750594  1500
16	  -0.0949666       1.45462      0.815233      0.276155      0.740867  1600
17	  -0.0949666       1.48379      0.819944      0.259273      0.739531  1700
18	  -0.0949666       1.51285      0.821284      0.254769      0.739414  1800
19	  -0.0949666       1.46755      0.823558      0.242489      0.737048  1900
20	  -0.0949666       1.37942       0.82244      0.239893      0.733955  2000
21	  -0.0949666        1.3899      0.825295      0.225015      0.731743  2100
22	  -0.0949666       1.40982      0.826418      0.221459      0.732011  2200
23	  -0.0949666       1.39273      0.827229      0.212977      0.729667  2300
24	  -0.0949666       1.44761      0.827122      0.205467      0.726348  2400
25	  -0.0949666       1.39687      0.827832       0.20247      0.726301  2500
26	   -0.104935       1.35101      0.828798      0.189833      0.722943  2600
27	   -0.104935        1.3925      0.828119      0.191868      0.722594  2700
28	   -0.104935       1.34537      0.828286      0.183908      0.719881  2800
29	   -0.104935        1.3784      0.828068      0.180443      0.718257  2900
30	   -0.104935       1.30097      0.828344      0.174846      0.716724  3000
